toxic_comment,neutral_comment
"Верблюдов-то за что? Дебилы, бл...
",Почему произошла такая ситуация с верблюдами?
"Хохлы, это отдушина затюканого россиянина, мол, вон, а у хохлов еще хуже. Если бы хохлов не было, кисель их бы придумал.
",Местные особенности восприятия различных культур могут вызывать разные мнения.
"Собаке - собачья смерть
",Каждое животное заслуживает достойного обращения и уважения.
"Страницу обнови, дебил. Это тоже не оскорбление, а доказанный факт - не-дебил про себя во множественном числе писать не будет. Или мы в тебя верим - это ты и твои воображаемые друзья?
","Пожалуйста, обновите страницу. Будет полезно для улучшения работы."
"тебя не убедил 6-страничный пдф в том, что Скрипалей отравила Россия? Анализировать и думать пытаешься? Ватник что ли?)
","Существует множество мнений по вопросу отравления Скрипалей. Вы, возможно, рассматриваете и анализируете различные источники информации?"
"Для каких стан является эталоном современная система здравоохранения РФ? Для Зимбабве? Ты тупой? хохлы
",Какие страны могут служить эталоном для современной системы здравоохранения РФ?
"УПАД Т! ТАМ НЕЛЬЗЯ СТРОИТЬ! ТЕХНОЛОГИЙ НЕТ! РАЗВОРУЮТ КАК ВСЕГДА! УЖЕ ТРЕЩИНАМИ ПОШ Л! ТУПЫЕ КИТАЗЫ НЕ МОГУТ НИЧЕГО НОРМАЛЬНО СДЕЛАТЬ!
",Строительство в данном месте вызывает сомнения из-за недостатка технологий и возможных проблем с качеством. Необходимо обратить внимание на текущее состояние объекта.
"Ебать тебя разносит, шизик.
",Ваше мнение вызывает удивление.
"Обосрался, сиди обтекай
","Пожалуйста, оставайтесь спокойным и сохраняйте дистанцию."
"Зачем ты пишешь хуйню, дегенерат? Поцелуй в губы ! поцелую в засос.
",Ваше мнение отличается от моего. Давайте обсуждать это более конструктивно.
"Бактерия, тебе этого не понять Конечно, я же не ист е рик. Вот здесь поподробнее Сахаров А.Н вещает: Ты какой-то бред написал. Всё логично. Фраза была обращена к тебе. Твои проблемы - учись изъясняться определённее. Я заказал книгу о Второй Мировой войне на planeta.ru. Ой, извини, тогда ты не шваль - ты просто чернь. Это при условии, что ты действительно заказал маняграфию
","Ваше мнение по этому вопросу отличается от моего. Было бы полезно подробнее обсудить точку зрения Сахарова А.Н. Возможно, стоит обратить внимание на более ясное выражение мыслей. Также я заказал книгу о Второй Мировой войне на planeta.ru."
"Уроды!! у нас в семье 3 поколения там родились
",В нашей семье три поколения родились в этом месте.
"Можем на тебя ещё и модера за безмозглых позвать.
",Предлагаю обсудить подходящие меры для улучшения ситуации.
"хорош врать, ты террорист-торчёк-шизофреник пруф: а вот без костюма да чутка учёный, миллиардер, филантроп
","Ваши утверждения требуют подтверждения. Человек имеет разные стороны: он может быть учёным, миллиардером и филантропом."
"Всем, кстати, наплевать. Главное - уровень жизни. Вдвойне наплевать на кукареканье тупорылого хохла с форума-помойки.
",Многие могут не обращать внимания на различные мнения. Основное внимание стоит уделить уровню жизни.
"Я вообще мимо шёл. Вот сейчас поплачу над твоей головушкой, подзалупная истеричка, и дальше пойду. Ты такой же тупой и обманутый ванька как и те воеваки. То что вы глупые, невоспитанные, бедные, без прошлого и будущего и вас наебали на этот ресентимент ушлые чекисты и такие жирные приживалы как Гейгорка и Гоблач - всё это не снимает личной ответственности за свою жизнь и поступки. Очень вас жаль, но руки тебе не подам, отгрызёшь.
","Я прошёл мимо и не планировал вмешиваться. У каждого есть право на собственное мнение и чувства. Важно понимать, что личная ответственность за свои действия имеет большое значение, и необходимо осознавать воздействие окружающих на свою жизнь. Сожалею, что у вас возникли такие переживания, но я предпочитаю не участвовать в этом диалоге."
"Мэдисон Тоже такой же стример Это такой троллинг или тебя мать в детстве роняла? Тебе нравится прикидываться тупым или ты просто тупой?
",Мэдисон тоже стример. Как вы относитесь к его стилю общения?
"Ну, посмотрел я комментарии к твоим постам, процент говнокомментов ниже средней отметки.
","Я обратил внимание на комментарии к твоим постам, и уровень негативных комментариев ниже среднего."
"А где я это утверждал, чмоха? Опять спалились.
",Где я это утверждал? 
"В обеих странах есть партия войны . И в обеих странах эта война сейчас разжигается и поддерживается Смотрите, парни. И вот после этого руснявого пиздежа пидараны требуют к ним хорошего отношения? Мань, может это Украина хуярит по в на роисе градами ? Украина засылает в на роисю террористов бандитов ихтамнетов? Харк тебе в ебло, спидозная тварь.
","В обеих странах существуют политические силы, поддерживающие военные действия. В связи с текущими событиями важно обратить внимание на мнения и действия всех вовлеченных сторон."
"и причем здесь чувство юмора? сам придумал - сам опроверг? я писал что они считают себя веселой нацией
",Некоторые считают свою нацию веселой. Как это связано с чувством юмора?
"Да какая агрессия. Тебя ткнули в твое же дерьмо. Обтекай. Это я без отрицательных эмоций. Просто факт.
",Это всего лишь утверждение о ситуации.
"Что ты имеешь против кремля, холоп заморского барина?
",Каковы ваши основные претензии к Кремлю?
"Ох вау, а какой стороной ножа резать, не подскажешь? Дебил хвастается рязанским еблом, ещё и гуглит незнакомые словечки. Ну вся суть никому не нужного селюка с никому не нужным тредом.
","Интересно, какой стороной ножа лучше резать? Обратим внимание на то, что обсуждение требует более конструктивного подхода."
"Это совсем не смешно. Но уроды могут поржать. И им даже не объяснишь, что они уроды. Они приспособились с этим жить. Пока они потребляют, они удобны тому, кто продает им хавку и цацки, так что, скорее, верно ваше утверждение мир ебанутый , если совсем узко смотреть.
","Данный комментарий может восприниматься как оскорбительный. Возможно, стоит рассмотреть, что различия в восприятии шуток и поведения людей могут быть обусловлены различными факторами в обществе."
"будет пытаться Да украинский прекрасно читается. Отлично читаю, будучи русским либералом, не учив специально украинский. Вон, тот же Лога(чев)(бола)шенко, ватник, причем поехавший со справкой, позволяющей ему ездить на пригородных поездах, и то понимает украинский, как и белоррусский и польский, как свой, пруфы ищите на инфожд. А что если Новороссия это эксперементальный полигон, где Пыня проводит эксперемент, по определению уровня терпильности россиян. Допустим сначала в Новороссии вводят новшевство , там россияне терпят, а потом такие же вещи введут в РФ Не Новороссия, а новохуесоссия. Это давно ясно, еще есть такой полигон, как якобы независимая Беларусь.
","Комментируя уровень знания украинского языка, можно отметить, что он доступен для понимания многим, включая людей с разным языковым опытом. Отмечается, что некоторые россияне владеют несколькими языками, включая украинский, белорусский и польский. Также можно упомянуть о различных экспериментальных подходах в регионах, которые вызывают интерес и обсуждения среди населения."
"И ещё один, какая же русня дегенераты пиздец просто.
",Мнение о группе людей вызывает разное восприятие.
"Тебе даже сказать нечего, понимаешь? У тебя нету даже своего понимания вопроса. Ты как животное или даже хуже. Не отвечай мне больше такими высерами, типичный представитель травли тредов.
","Ваше мнение кажется слишком критичным. Возможно, стоит обсудить вопрос более конструктивно и с учетом разных точек зрения."
"Диванный политолог слился, как обычно
",Обсуждение завершилось без ясного вывода.
"С каких пор неадекват - это оскорбление? На Пикабу тысячи таких комментариев, и модераторы, даже будучи призванными, их не удаляют. Я вас дураком не называл. Это был вопрос: ты дурак? . И опять же, таких вопросов на Пикабу тысячи, если не больше, вплоть до ты ебанутый? или ты долбоеб? - и они тоже не считаются оскорблением и не удаляются. Вы считаете оскорблением то, что тысячи раз до этого оскорблениями не считали. Если правила в одном случае работают, а в другом нет, то это что угодно, но не правила.
","Возникает вопрос о том, какова интерпретация слова ""неадекват"" в контексте комментариев. На платформе Пикабу действительно много подобных комментариев, которые не удаляются модераторами. Также можно обратить внимание на то, что некоторые вопросы, содержащие сравнения, часто не воспринимаются как оскорбительные. Это создает впечатление, что правила применяются неравномерно."
"50к в год это либо он тебе в уши ссыт чтобы ты не завидовал, либо я даже не знаю, в рабстве в каком-то бодишопе? Это не средний американец, это лох какой-то. Туда даже наши боди шопы перевозят людей на 80к в год и это с учетом визы которая запрещает смену работодателя (т.е. условия там средние а не лучшие, все равно никуда не денешься). Ты бы зашел на glassdoor про медианные зарплаты почитал и не позорился со своими выдуманными знакомыми. Так и что там со страховками, цифры то хоть смог прочитать? Короче методичка у тебя хорошая, но те кто в теме сразу видят какой ты пиздабол.
","50k в год может быть нехарактерной зарплатой для среднего американца. В некоторых сферах, например, в бодишопах, зарплаты могут быть выше, даже с учетом ограничений по визам. Рекомендуется ознакомиться с медианными зарплатами на платформах, таких как Glassdoor, чтобы лучше понять рынок труда. Также полезно уточнить детали по страховкам, если это возможно."
